parm,mean,sd,lcl,25%,median,75%,ucl,Rhat,n.eff,overlap0,f,parm
"db[22,5]",0.249557467,0.069706327,0.113202162,0.202125832,0.249958745,0.296440738,0.38553535,1.000056945,28750,0,1,"db[22,5]"
"db[23,5]",0.249881517,0.070171686,0.112305345,0.202433743,0.249674059,0.297066369,0.387045862,0.99996787,40000,0,1,"db[23,5]"
"db[24,5]",0.250572036,0.069795386,0.114030534,0.203199999,0.251209396,0.297673058,0.387455676,1.00013978,18465,0,1,"db[24,5]"
"db[25,5]",0.250073907,0.069823244,0.112529745,0.202953597,0.250305975,0.297024818,0.386517109,0.999973719,40000,0,1,"db[25,5]"
"db[26,5]",0.25030901,0.069925343,0.111137934,0.203703085,0.250609038,0.297063596,0.388931551,1.00019239,10999,0,1,"db[26,5]"
"db[27,5]",0.250103527,0.070033268,0.112391447,0.202845987,0.25033916,0.297887617,0.386284363,1.000077702,20055,0,1,"db[27,5]"
"db[28,5]",0.249944167,0.070016651,0.113174212,0.202460199,0.249730188,0.297225858,0.386734713,0.999982993,40000,0,1,"db[28,5]"
"db[29,5]",0.250443758,0.07034949,0.111467201,0.202915229,0.250151363,0.298029815,0.387037467,1.000008886,40000,0,1,"db[29,5]"
"db[30,5]",0.249912803,0.070043974,0.11358138,0.20192323,0.249358587,0.29686031,0.388430899,1.000070765,38813,0,1,"db[30,5]"
"db[31,5]",0.250165806,0.069866914,0.112412616,0.203064083,0.250217302,0.296632725,0.386734684,1.000047696,40000,0,1,"db[31,5]"
"db[32,5]",0.249630658,0.06955115,0.113304065,0.20238583,0.249211358,0.296660566,0.385376812,1.000195974,12012,0,1,"db[32,5]"
"db[33,5]",0.250040185,0.07032142,0.111906925,0.202631998,0.250223614,0.297294288,0.387924738,0.999992984,40000,0,1,"db[33,5]"
"db[34,5]",0.25018767,0.069989973,0.112723135,0.203198385,0.249745775,0.29735217,0.387724049,1.000034344,31775,0,1,"db[34,5]"
"db[35,5]",0.24982545,0.070071329,0.112735254,0.202601566,0.249289656,0.297179248,0.387299362,1.000005835,40000,0,1,"db[35,5]"
"db[36,5]",0.250196366,0.069962687,0.113274524,0.203218393,0.250082009,0.297096018,0.388365057,1.000069775,22929,0,1,"db[36,5]"
