"mean","sd","lcl","25%","median","75%","ucl","Rhat","n.eff","overlap0","f","parm"
"Ntot[13,4]",124.0931,8.21892153246269,108,118,124,130,141,1.00002551750746,35594,0,1,"Ntot[13,4]"
"Ntot[14,4]",124.0931,8.21892153246269,108,118,124,130,141,1.00002551750746,35594,0,1,"Ntot[14,4]"
"Ntot[15,4]",124.0931,8.21892153246269,108,118,124,130,141,1.00002551750746,35594,0,1,"Ntot[15,4]"
"Ntot[16,4]",124.0931,8.21892153246269,108,118,124,130,141,1.00002551750746,35594,0,1,"Ntot[16,4]"
"Ntot[17,4]",124.0931,8.21892153246269,108,118,124,130,141,1.00002551750746,35594,0,1,"Ntot[17,4]"
"Ntot[18,4]",124.0931,8.21892153246269,108,118,124,130,141,1.00002551750746,35594,0,1,"Ntot[18,4]"
"Ntot[19,4]",163.987454041781,12.8243949246475,139.736704930225,155.192474492578,163.603882087608,172.419960692227,189.96759774573,0.999993734139491,40000,0,1,"Ntot[19,4]"
"Ntot[20,4]",124.0931,8.21892153246269,108,118,124,130,141,1.00002551750746,35594,0,1,"Ntot[20,4]"
"Ntot[21,4]",124.0931,8.21892153246269,108,118,124,130,141,1.00002551750746,35594,0,1,"Ntot[21,4]"
"Ntot[22,4]",124.0931,8.21892153246269,108,118,124,130,141,1.00002551750746,35594,0,1,"Ntot[22,4]"
"Ntot[23,4]",124.0931,8.21892153246269,108,118,124,130,141,1.00002551750746,35594,0,1,"Ntot[23,4]"
"Ntot[24,4]",124.0931,8.21892153246269,108,118,124,130,141,1.00002551750746,35594,0,1,"Ntot[24,4]"
"Ntot[25,4]",124.0931,8.21892153246269,108,118,124,130,141,1.00002551750746,35594,0,1,"Ntot[25,4]"
"Ntot[26,4]",124.0931,8.21892153246269,108,118,124,130,141,1.00002551750746,35594,0,1,"Ntot[26,4]"
"Ntot[27,4]",124.0931,8.21892153246269,108,118,124,130,141,1.00002551750746,35594,0,1,"Ntot[27,4]"
"Ntot[28,4]",124.0931,8.21892153246269,108,118,124,130,141,1.00002551750746,35594,0,1,"Ntot[28,4]"
"Ntot[29,4]",124.0931,8.21892153246269,108,118,124,130,141,1.00002551750746,35594,0,1,"Ntot[29,4]"
"Ntot[30,4]",124.0931,8.21892153246269,108,118,124,130,141,1.00002551750746,35594,0,1,"Ntot[30,4]"
"Ntot[31,4]",124.0931,8.21892153246269,108,118,124,130,141,1.00002551750746,35594,0,1,"Ntot[31,4]"
"Ntot[32,4]",124.0931,8.21892153246269,108,118,124,130,141,1.00002551750746,35594,0,1,"Ntot[32,4]"
"Ntot[33,4]",124.0931,8.21892153246269,108,118,124,130,141,1.00002551750746,35594,0,1,"Ntot[33,4]"
"Ntot[34,4]",124.0931,8.21892153246269,108,118,124,130,141,1.00002551750746,35594,0,1,"Ntot[34,4]"
"Ntot[35,4]",124.0931,8.21892153246269,108,118,124,130,141,1.00002551750746,35594,0,1,"Ntot[35,4]"
"Ntot[36,4]",124.0931,8.21892153246269,108,118,124,130,141,1.00002551750746,35594,0,1,"Ntot[36,4]"
"Ntot[37,4]",124.0931,8.21892153246269,108,118,124,130,141,1.00002551750746,35594,0,1,"Ntot[37,4]"
"Ntot[38,4]",163.987454041781,12.8243949246475,139.736704930225,155.192474492578,163.603882087608,172.419960692227,189.96759774573,0.999993734139491,40000,0,1,"Ntot[38,4]"
